date,open,high,low,close,volume
2023-08-16,365.870000,367.430000,362.440000,362.540000,53190525
2023-08-17,363.960000,364.310000,358.160000,358.580000,61746142
2023-08-18,355.260000,359.410000,354.710000,358.130000,61191389
2023-08-21,359.620000,364.590000,359.150000,363.900000,50696518
2023-08-22,366.550000,366.560000,362.680000,363.380000,44613509
2023-08-23,364.580000,370.220000,364.360000,369.110000,51770603
2023-08-24,372.640000,372.740000,361.010000,361.220000,66842491
2023-08-25,362.070000,365.740000,358.580000,364.020000,69960465
2023-08-28,366.990000,367.710000,364.250000,366.760000,40910019
2023-08-29,366.560000,375.130000,366.231000,374.770000,58492371
2023-08-30,374.880000,377.446700,373.860000,376.860000,41731511
2023-08-31,376.940000,379.719000,376.870000,377.990000,35730701
2023-09-01,380.400000,380.830000,376.080100,377.590000,39801177
2023-09-05,376.770000,379.309300,375.830000,378.070000,32344222
2023-09-06,377.280000,377.630000,372.700000,374.740000,42998735
2023-09-07,370.210000,372.850000,369.150000,372.060000,52060716
2023-09-08,372.010000,374.850000,371.600000,372.580000,35847359
2023-09-11,372.580000,377.490000,372.580000,376.970000,39936634
2023-09-12,375.270000,376.675000,372.500000,372.790000,41391024
2023-09-13,373.030000,375.840000,371.880000,374.210000,46300677
2023-09-14,375.990000,378.270000,373.890000,377.270000,48039388
2023-09-15,375.910000,376.320000,369.860000,370.810000,69811206
2023-09-18,370.271150,371.790000,369.030000,370.660000,36903545
2023-09-19,369.320000,370.630000,366.800000,369.870000,37621734
2023-09-20,370.950000,371.310000,364.460000,364.540000,45514189
2023-09-21,360.800000,361.600000,357.690000,357.860000,69734845
2023-09-22,359.630000,361.800000,357.590000,357.910000,51589689
2023-09-25,356.930000,359.700000,355.930000,359.610000,39167985
2023-09-26,356.990000,357.540000,353.210100,354.210000,53657748
2023-09-27,355.380000,356.980000,351.360000,355.040000,56065972
2023-09-28,354.110000,360.170000,353.240000,358.010000,56453312
2023-09-29,361.540000,362.950000,357.020000,358.270000,64829616
2023-10-02,358.540000,362.680000,357.920000,361.260000,51625054
2023-10-03,358.780000,361.010000,353.275000,354.920000,60478489
2023-10-04,355.770000,360.610000,355.300000,359.750000,54786686
2023-10-05,359.740000,360.150000,355.140000,358.690000,45897390
2023-10-06,355.650000,365.910000,354.850000,364.700000,75049119
2023-10-09,362.300000,367.110000,360.780000,366.560000,45304766
2023-10-10,366.900000,371.280000,366.390000,368.590000,46968806
2023-10-11,369.940000,371.412000,368.190000,371.220000,38215088
2023-10-12,371.730000,373.740000,367.500000,369.930000,49587942
2023-10-13,370.570000,371.160000,363.860000,365.280000,52519876
2023-10-16,366.620000,370.480000,366.470000,369.410000,44201059
2023-10-17,365.810000,369.920000,363.660000,368.200000,50999102
2023-10-18,365.670000,367.910000,362.020000,363.370000,54280490
2023-10-19,364.810000,366.020000,359.160000,359.970000,72274238
2023-10-20,359.460000,360.040000,354.370000,354.600000,72559723
2023-10-23,353.260000,359.260000,351.119900,355.670000,60665185
2023-10-24,357.510000,359.910000,355.790000,359.130000,47082078
2023-10-25,356.700000,356.880000,349.750000,350.340000,71190536
2023-10-26,349.120000,350.070000,342.350000,343.660000,78621425
2023-10-27,346.430000,348.840000,344.080000,345.310000,63476707
2023-10-30,347.830000,350.540000,346.450000,349.200000,55298536
2023-10-31,349.230000,351.250000,346.620000,350.870000,47671906
2023-11-01,351.720000,357.529800,351.620000,356.960000,58992666
2023-11-02,361.540000,363.680000,360.300000,363.440000,58162442
2023-11-03,364.750000,369.020000,364.520000,367.710000,53280457
2023-11-06,368.490000,369.780000,366.910000,369.210000,38848743
2023-11-07,370.270000,373.580000,369.045000,372.700000,50777398
2023-11-08,373.080000,373.790000,370.620000,372.940000,35663373
2023-11-09,372.940000,374.800000,369.570000,370.070000,53859421
2023-11-10,371.820000,378.540000,371.280000,378.390000,58368439
2023-11-13,376.790000,378.280000,375.240000,377.210000,40733505
2023-11-14,383.710000,386.260000,383.180000,385.330000,67792634
2023-11-15,387.250000,387.750000,384.235000,385.620000,54141385
2023-11-16,384.840000,386.190000,383.560000,385.950000,45343544
2023-11-17,385.210000,387.070000,384.290000,386.040000,46622745
2023-11-20,386.050000,391.410000,386.050000,390.740000,44536669
2023-11-21,389.010000,389.230000,386.700000,388.470000,43336989
2023-11-22,390.570000,393.070000,389.040000,390.060000,44178572
2023-11-24,389.650000,390.250000,388.500000,389.510000,15718832
2023-11-27,389.010000,391.149900,388.280000,389.170000,34139656
2023-11-28,388.410000,390.780000,388.050000,390.190000,35491123
2023-11-29,392.690000,394.140000,389.460000,389.810000,38811745
2023-11-30,390.080000,390.550000,385.820000,388.830000,52834381
2023-12-01,387.750000,390.540000,386.072600,389.940000,40490068
2023-12-04,386.090000,386.595000,382.660000,386.320000,51186944
2023-12-05,384.390000,388.500000,384.210000,387.290000,42932956
2023-12-06,390.270000,390.370000,384.700000,385.050000,41994072
2023-12-07,388.070000,391.270000,386.960000,390.430000,49593545
2023-12-08,388.670000,392.620000,388.480100,392.170000,46687525
2023-12-11,391.740000,395.790000,391.530000,395.520000,41198021
2023-12-12,395.560000,398.790000,394.410000,398.670000,39221152
2023-12-13,399.620000,404.360000,398.839900,403.740000,55408129
2023-12-14,404.980000,406.300000,400.340000,403.390000,55447808
2023-12-15,404.180000,406.539900,403.570000,405.340000,62896645
2023-12-18,404.531740,407.990000,404.531740,407.080000,46609985
2023-12-19,407.540000,409.280000,407.345000,409.160000,35711855
2023-12-20,408.350000,410.469900,402.900000,403.080000,54042443
2023-12-21,407.060000,408.140000,404.470000,407.770000,45568914
2023-12-22,409.000000,409.970000,406.478700,408.380000,34314003
2023-12-26,409.250000,411.560000,409.150000,410.880000,22722545
2023-12-27,410.664288,411.787500,410.080000,411.500000,31980481
2023-12-28,412.670000,412.920000,410.940000,411.300000,27029152
2023-12-29,411.280000,411.640000,407.580000,409.520000,42662120
2024-01-02,405.840000,406.090000,400.240000,402.590000,58026946
2024-01-03,399.930000,401.000000,397.890000,398.330000,47002803
2024-01-04,396.440000,399.590000,396.060000,396.280000,39432797
2024-01-05,396.450000,399.560000,395.340000,396.750000,44922810
2024-01-08,397.990000,405.240000,397.839900,404.950000,42473796
2024-01-09,401.910000,406.690000,401.710000,405.750000,39132860
2024-01-10,406.070000,409.515000,405.170000,408.500000,33962774
2024-01-11,409.790000,411.200400,404.242000,409.350000,54536198
2024-01-12,410.400000,411.250000,408.150000,409.560000,39594952
2024-01-16,408.310000,411.120000,406.830000,409.520000,43903027
2024-01-17,406.170000,407.585000,402.920000,407.210000,54385974
2024-01-18,410.520000,413.575000,409.160100,412.990000,59562505
2024-01-19,415.220000,421.340000,414.625000,421.180000,70325123
2024-01-22,423.410000,424.727500,421.120000,421.730000,44880639
2024-01-23,422.430000,423.700000,420.570000,423.480000,33003806
2024-01-24,427.440000,429.850000,425.330000,425.830000,46948016
2024-01-25,428.360000,429.040000,423.980000,426.350000,44367205
2024-01-26,424.440000,426.210000,423.150000,423.810000,37137028
2024-01-29,424.270000,428.350000,423.610000,428.150000,38694724
2024-01-30,427.100000,427.680000,424.380000,425.300000,36738956
2024-01-31,420.850000,422.869900,416.790000,416.970000,64010649
2024-02-01,418.790000,422.375000,417.810000,421.880000,51008622
2024-02-02,423.800000,430.240000,422.790000,429.010000,59602435
2024-02-05,429.070000,429.610000,425.000000,428.450000,39889209
2024-02-06,429.610000,430.220000,425.220000,427.590000,35846134
2024-02-07,430.410000,432.830000,429.090000,431.990000,37712661
2024-02-08,432.110000,433.560000,431.420000,432.790000,29889892
2024-02-09,433.940000,437.845000,433.140100,437.050000,36943905
2024-02-12,436.940000,439.140000,434.650000,435.340000,33203305
2024-02-13,427.280000,431.270000,425.330500,428.550000,64491669
2024-02-14,431.260000,433.650000,428.879900,433.220000,45092722
2024-02-15,433.920000,434.980000,431.330000,434.510000,38796137
2024-02-16,434.890000,434.990000,429.850000,430.570000,53716475
2024-02-20,428.550000,430.080000,423.500000,427.320000,53999452
2024-02-21,424.550000,425.700000,421.630000,425.610000,50179697
2024-02-22,434.490000,439.120000,433.710000,438.070000,53887751
2024-02-23,439.650000,440.590000,435.790000,436.780000,39853861
2024-02-26,437.600000,438.600000,436.355000,436.550000,33043238
2024-02-27,437.670000,437.990000,435.025000,437.600000,33713220
2024-02-28,435.430000,436.670000,434.300000,435.270000,32938821
2024-02-29,438.230000,440.090000,435.020000,439.000000,42495152
2024-03-01,439.900000,446.580000,439.840000,445.610000,43853029
2024-03-04,445.610000,446.040000,443.770000,444.020000,34325687
2024-03-05,440.940000,440.950000,433.650000,436.050000,57917135
2024-03-06,440.320000,441.990000,436.890000,438.790000,46234460
2024-03-07,442.420000,446.720000,440.860000,445.450000,44526666
2024-03-08,445.810000,448.640000,438.340000,439.020000,72095957
2024-03-11,437.510000,438.660000,435.440000,437.390000,45859992
2024-03-12,439.730000,444.020000,436.460000,443.660000,55300909
2024-03-13,442.650000,442.670000,439.120000,440.250000,37928691
2024-03-14,441.500000,442.030000,436.390000,439.180000,52195208
2024-03-15,436.070000,438.873300,432.741700,433.920000,73069824
2024-03-18,438.730000,441.040000,437.240000,437.480000,47323802
2024-03-19,435.450000,438.980000,433.330000,438.570000,43004105
2024-03-20,439.780000,444.110000,438.060000,443.770000,43653490
2024-03-21,448.880000,449.340000,445.670000,445.870000,39345652
